"T29504953","Only one asset is displayed per show","","C2479723","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1818","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504949","Fully watched show is not displayed in Continue watching rail","","C2479463","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2826","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504952","Decreasing rating on Kids profile removes content rated above restriction","","C2479718","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1512","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504951","Continue watching rail asset list is profile specific","","C2479678","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2826","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29505000","Continue Watching Removal From Rail (Homepage)","","C2617216","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-1512","Critical User Journey","Android Phone","R109480","Continue Watching","0","","Passed","Nathan Sloat","5/24/2023 6:46 PM","Regression",""
"T29504944","Validation of WelcomeScreen","","C2478636","","","","","","Launch_Day_300Mins","R109464","All Platforms","P1","GQA-15063, GQA-14529, GQA-1887, GQA-1861, GQA-1824, GQA-1820, GQA-1584, GQA-1398, GQA-1557, GQA-1975","Critical User Journey","Android Phone","R109480","Welcome Screen","0","","Passed","Nathan Sloat","5/24/2023 6:41 PM","Regression",""
"T29504946","Authenticated user can able to access manage account page","","C2479442","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-15064","Critical User Journey","Android Phone","R109480","Account Page","0","","Passed","Nathan Sloat","5/24/2023 6:47 PM","Regression",""
"T29504950","Authenticated user can able to access Help section","","C2479640","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2003","Critical User Journey","Android Phone","R109480","Account Page","0","","Passed","Nathan Sloat","5/24/2023 6:47 PM","Regression",""
"T29504941","Validate onboarding for a new user via Home screen","","C2478599","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2139, GQA-2731","Critical User Journey","Android Phone","R109480","Onboarding, Registration and Sign in","0","","Passed","Nathan Sloat","5/24/2023 6:47 PM","Regression",""
"T29505025","Verify CTA buttons landing pages from home screen","","C2621429","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2139, GQA-2731, GQA-2759","Critical User Journey","Android Phone","R109480","Onboarding, Registration and Sign in","0","","Passed","Nathan Sloat","5/24/2023 6:47 PM","Regression",""
"T29504942","Reset Password","","C2478603","Passed on tablet","","","","","Launch_Day_300Mins","R109464","All Platforms","P1","GQA-15063, GQA-14529, GQA-1887, GQA-1861, GQA-1824, GQA-1820, GQA-1584, GQA-1398, GQA-1557, GQA-1975","Critical User Journey","Android Phone","R109480","Onboarding, Registration and Sign in","0","","Passed","Nathan Sloat","5/24/2023 6:47 PM","Regression",""
"T29630127","Launch App with Ethernet Setup (Without WiFi)","","C2696876","As this test case covered in Android Tablet. Hence marking as Remove from Run","","","","","Launch_Day_300Mins","R109464","Fire TV
Roku
Web
Android TV
STB
cdev","P1","GQA-16646","Critical User Journey","Android Phone","R109480","Onboarding, Registration and Sign in","0","","Remove from Run","kamila K","5/23/2023 10:31 AM","Regression",""
"T29505079","[Access] [MVPD Re-authentication] [CTV] Sign Out","","C2622900","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2209, GQA-15176","Critical User Journey","Android Phone","R109480","MVPD","1","","Remove from Run","Nirupama Venkataraman","5/23/2023 12:39 PM","Regression",""
"T29504972","MVPD flow - link existing DTC, IAP and MVPD  to MVPD","","C2605168","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2053, GQA-2026, GQA-2273, GQA-2161, GQA-2239, GQA-2158","Critical User Journey","Android Phone","R109480","MVPD","1","","Remove from Run","Nathan Sloat","5/24/2023 6:42 PM","Regression",""
"T29505051","[Access] [Generic Sign In] New or Existing User Authorized for BEAM with 1st Party Credentials","","C2621732","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2054, GQA-2196","Critical User Journey","Android Phone","R109480","sign in genric flow","1","","Passed","Nathan Sloat","5/23/2023 10:45 AM","Regression",""
"T29505087","link existing DTC,IAP and  MVPD user to MVPD- sign in flow","","C2623749","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2053, GQA-2026, GQA-2273, GQA-2161, GQA-2158","Critical User Journey","Android Phone","R109480","sign in genric flow","1","","Passed","Nathan Sloat","5/24/2023 6:42 PM","Regression",""
"T29505061","[Access] [Generic Sign In] Lapsed User","","C2622351","","GCX-26037","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2046","Critical User Journey","Android Phone","R109480","sign in genric flow","1","","Failed","Nirupama Venkataraman","5/23/2023 11:47 AM","Regression",""
"T29504959","Authenticated user observes expected Network rail metadata","","C2481440","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-15063, GQA-14529, GQA-1887, GQA-1861, GQA-1824, GQA-1820, GQA-1584, GQA-1398, GQA-1557, GQA-1975","Critical User Journey","Android Phone","R109480","Network Landing Page","0","","Passed","Nathan Sloat","5/24/2023 6:48 PM","Regression",""
"T29504960","Authenticated user observes expected Show Landing page metadata via Network page","","C2481445","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-15063, GQA-14529, GQA-1887, GQA-1861, GQA-1824, GQA-1820, GQA-1584, GQA-1398, GQA-1557, GQA-1975","Critical User Journey","Android Phone","R109480","Network Landing Page","0","","Passed","Nathan Sloat","5/24/2023 6:48 PM","Regression",""
"T29504969","Authenticated user observes expected network logo","","C2483101","","GCX-24319","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-15063, GQA-14529, GQA-1887, GQA-1861, GQA-1824, GQA-1820, GQA-1584, GQA-1398, GQA-1557, GQA-1975","Critical User Journey","Android Phone","R109480","Network Landing Page","0","","Failed","Nathan Sloat","5/24/2023 6:48 PM","Regression",""
"T29505097","Removal of 4K UHD Copy in Legacy Max Buy Flow","","C2625515","","","","","","Launch_Day_300Mins","R109464","All Platforms","P1","GQA-15521","Critical User Journey","Android Phone","R109480","Out Of Scope or Duplicate","1","","Passed","Lakshmi Chokkalingam","5/24/2023 5:02 AM","Regression",""
"T29505049","Restart playback of an asset from CDP with viewing progress","","C2621712","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2787, GQA-2784, GQA-2801, GQA-2799, GQA-2683, GQA-2778","Critical User Journey","Android Phone","R109480","Content Detail Page","0","Content Detail Page Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/186551056/

Content Detail Page Feature:
https://wbdstreaming.atlassian.net/browse/CD-74","Passed","Nathan Sloat","5/24/2023 6:49 PM","Regression",""
"T29504957","Authenticated User can play """"Extras"""" on <assetType> content details page","","C2480330","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2616, GQA-1873","Critical User Journey","Android Phone","R109480","Content Detail Page","0","Content Detail Page Test Plan: https://wbdstreaming.atlassian.net/wiki/spaces/GQA/pages/186551056/

Content Detail Page Feature:
https://wbdstreaming.atlassian.net/browse/CD-74","Passed","Nathan Sloat","5/24/2023 6:49 PM","Regression",""
"T29505014","Restart playback of a Series in Completed Watching state from CDP","","C2620983","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2787","Critical User Journey","Android Phone","R109480","Series Detail Page","1","Beam CDP State Matrix: 
 https://docs.google.com/spreadsheets/d/1slfDbka3CQCBM1Jcdo1ZU2sH2GBfuI6S2ic97e4mPbw/edit#gid=0","Passed","Nathan Sloat","5/24/2023 7:05 PM","Regression",""
"T29505029","Series CDP - Coming Soon state metadata","","C2621481","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2812, GQA-2813, GQA-2534, GQA-2795","Critical User Journey","Android Phone","R109480","Series Detail Page","1","Beam CDP State Matrix: 
 https://docs.google.com/spreadsheets/d/1slfDbka3CQCBM1Jcdo1ZU2sH2GBfuI6S2ic97e4mPbw/edit#gid=0","Passed","Nathan Sloat","5/24/2023 6:50 PM","Regression",""
"T29505012","Series CDP - Cold Start state metadata","","C2620975","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2793, GQA-2798, GQA-2794, GQA-2778","Critical User Journey","Android Phone","R109480","Series Detail Page","1","Beam CDP State Matrix: 
 https://docs.google.com/spreadsheets/d/1slfDbka3CQCBM1Jcdo1ZU2sH2GBfuI6S2ic97e4mPbw/edit#gid=0","Passed","Nathan Sloat","5/24/2023 6:50 PM","Regression",""
"T29505013","Series CDP - In Progress state metadata","","C2620982","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2784, GQA-2787, GQA-2801, GQA-2778","Critical User Journey","Android Phone","R109480","Series Detail Page","1","Beam CDP State Matrix: 
 https://docs.google.com/spreadsheets/d/1slfDbka3CQCBM1Jcdo1ZU2sH2GBfuI6S2ic97e4mPbw/edit#gid=0","Passed","Nathan Sloat","5/24/2023 6:50 PM","Regression",""
"T29505015","Series CDP - Completed Watching state metadata","","C2621039","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2781, GQA-2765, GQA-2763, GQA-2687","Critical User Journey","Android Phone","R109480","Series Detail Page","1","Beam CDP State Matrix: 
 https://docs.google.com/spreadsheets/d/1slfDbka3CQCBM1Jcdo1ZU2sH2GBfuI6S2ic97e4mPbw/edit#gid=0","Passed","Nathan Sloat","5/24/2023 6:50 PM","Regression",""
"T29505050","Restart playback of a Movie in Completed Watching state from CDP","","C2621713","Passed on tablet","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2783","Critical User Journey","Android Phone","R109480","Movie Detail Page","1","","Passed","Nathan Sloat","5/24/2023 6:50 PM","Regression",""
"T29505045","Movie CDP - Coming Soon state metadata","","C2621705","","","","","","Launch_Day_300Mins","R109464","Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone","P1","GQA-2797","Critical User Journey","Android Phone","R109480","Movie Detail Page","1","","Passed","Nathan Sloat","5/24/2023 7:06 PM","Regression",""
